Hallo!,Привет!
Guten Tag!,Добрый день!
Entschuldigung!,Извини(те)!
Bitte,пожалуйста
Danke,спасибо
Gern geschehen,не за что
Schade,жаль
Tschüss!,Пока!
Auf Wiedersehen!,До свидания!
die Leute,люди
der Mensch,человек
der Mann,мужчина; муж
die Frau,женщина; жена
das Kind,ребенок
der Junge,мальчик
das Mädchen,девочка
der Freund,друг
der Bekannte,знакомый
der Nachbar,сосед
der Gast,гость
der Chef,начальник; шеф
der Konkurrent,конкурент
der Kunde,"клиент, покупатель"
der Kollege,коллега
die Familie,семья
die Eltern,родители
der Vater,отец
der Vati,папа
die Mutter,мать
die Mutti,мама
der Sohn,сын
die Tochter,дочь
der Bruder,брат
die Schwester,сестра
der Großvater,дед
der Opa,дедушка
die Großmutter,бабушка
die Oma,бабуля
der Enkel,внук
die Enkelin,внучка
der Schwiegervater,"тесть, свекор"
die Schwiegermutter,"тёща, свекровь"
der Onkel,дядя
die Tante,тетя
der Cousin [кузэн],двоюродный брат
die Kusine,двоюродная сестра
der Neffe,племянник
die Nichte,племянница
die Arbeit,работа
der Geschäftsmann,бизнесмен
der Lehrer,учитель
der Fahrer,водитель
der Arbeiter,рабочий
der Ingenieur,инженер
der Arzt,врач
der Rechtsanwalt,адвокат
der Journalist,журналист
die Krankenschwester,медсестра
der Verkäufer,продавец
der Kellner,официант
der Buchhalter,бухгалтер
der Maler,художник
der Musiker,музыкант
der Schauspieler,актер
der Student,студент
der Schüler,"школьник, ученик"
das Tier,животное
die Katze,кошка
der Hund,собака
der Vogel,птица
das Eichhörnchen,белка
der Wolf,волк
die Gans,гусь
die Giraffe,жираф
das Kaninchen,кролик
der Hase,заяц
die Kuh,корова
die Ratte,крыса
der Fuchs,лиса
das Pferd,лошадь
der Frosch,лягушка
der Bär,медведь
die Maus,мышь
der Affe,обезьяна
das Schwein,свинья
der Elefant,слон
die Ente,утка
das Land,страна; сельская местность; земля
Russland,Россия
Deutschland,Германия
Österreich,Австрия
die Schweiz,Швейцария
die Stadt,город
das Haus,дом
das Gebäude,здание
der Platz,площадь; место
der Eingang,вход
der Ausgang,выход
das Zentrum,центр
der Hof,двор
das Dach,крыша
der Zaun,забор
